Code,University ,Code of university ,City,Address
5B060800 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
5B070300 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
5B070600 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
5B070800 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
5B071200 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
5B071300 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
5B071500 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
5B071800 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
5B072100 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
5B072400 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
5B072900 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
5B073100 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
5B073200 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
5B090100 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
5B090200 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
5B090300 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
5B090700 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
5B110100 ,Республиканское государственное казенное предприятие  «Западно-Казахстанский государственный медицинский университет имени Марата Оспанова» Министерства здравоохранения Республики Казахстан,4,Актобе,"улица Маресьева, 68"
5B110200 ,Республиканское государственное казенное предприятие  «Западно-Казахстанский государственный медицинский университет имени Марата Оспанова» Министерства здравоохранения Республики Казахстан,4,Актобе,"улица Маресьева, 68"
5B110300 ,Республиканское государственное казенное предприятие  «Западно-Казахстанский государственный медицинский университет имени Марата Оспанова» Министерства здравоохранения Республики Казахстан,4,Актобе,"улица Маресьева, 68"
5B130100 ,Республиканское государственное казенное предприятие  «Западно-Казахстанский государственный медицинский университет имени Марата Оспанова» Министерства здравоохранения Республики Казахстан,4,Актобе,"улица Маресьева, 68"
5B130200 ,Республиканское государственное казенное предприятие  «Западно-Казахстанский государственный медицинский университет имени Марата Оспанова» Министерства здравоохранения Республики Казахстан,4,Актобе,"улица Маресьева, 68"
 5B010500 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
 5B010700 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
 5B011100 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
 5B011200 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
 5B011300 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
 5B011400 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
 5B011600 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
 5B011700 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
 5B011800 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
 5B011900 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
 5B012100 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
 5B012300 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
 5B012900 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
 5B013000 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
 5B020500 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
 5B020700 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
 5B021000 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
