Code,University ,Code of university,City,Address
5B090700,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B110100,Republican State Treasury Enterprise  «West Kazakhstan Marat Ospanov State Medical Unversity» under the Ministry of Health care of Republic of Kazakhstan,4,Aktobe,"Maresyev street, 68"
5B110200,Republican State Treasury Enterprise  «West Kazakhstan Marat Ospanov State Medical Unversity» under the Ministry of Health care of Republic of Kazakhstan,4,Aktobe,"Maresyev street, 68"
5B110300,Republican State Treasury Enterprise  «West Kazakhstan Marat Ospanov State Medical Unversity» under the Ministry of Health care of Republic of Kazakhstan,4,Aktobe,"Maresyev street, 68"
5B130100,Republican State Treasury Enterprise  «West Kazakhstan Marat Ospanov State Medical Unversity» under the Ministry of Health care of Republic of Kazakhstan,4,Aktobe,"Maresyev street, 68"
5B130200,Republican State Treasury Enterprise  «West Kazakhstan Marat Ospanov State Medical Unversity» under the Ministry of Health care of Republic of Kazakhstan,4,Aktobe,"Maresyev street, 68"
5B010100,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B010200,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B010300,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B010500,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B010600,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B010700,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B010800,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B010900,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B011000,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B011100,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B011200,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B011300,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B011400,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B011600,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B011700,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B011800,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B011900,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B012000,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B012100,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B012300,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B012900,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B013000,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B020300,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B020500,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B020700,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B021000,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B030100,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B040900,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B042100,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B050300,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B050600,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B050700,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B050800,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B050900,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B051000,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B051100,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B051300,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B060100,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B060200,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B060400,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B060600,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B060700,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B060800,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B070300,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
