,# of rooms,Area,Floor,Location,Price
9260,1,40.2,7,Бостандыкский,21000000.0
9261,1,17.0,4,Бостандыкский,6000000.0
9262,1,34.0,4,Бостандыкский,14500000.0
9263,3,65.0,1,Алмалинский,24000000.0
9264,1,41.0,3,Ауэзовский,16000000.0
9265,4,139.1,3,Бостандыкский,75499999.0
9266,3,58.5,1,Медеуский,14500000.0
9267,2,43.0,5,Наурызбайский,9000000.0
9268,2,52.0,2,Ауэзовский,17500000.0
9269,3,73.0,1,Медеуский,50000000.0
9270,1,36.0,2,Жетысуский,9500000.0
9271,1,45.0,1,Алатауский,14000000.0
9272,3,97.0,10,Бостандыкский,45500000.0
9273,4,95.5,2,Жетысуский,30000000.0
9274,3,102.0,6,Жетысуский,21000000.0
9275,1,35.5,2,Алатауский,11000000.0
9276,2,52.6,1,Алмалинский,25000000.0
9277,4,143.0,1,Жетысуский,45000000.0
9278,2,60.0,8,Ауэзовский,23000000.0
9279,3,58.0,1,Алмалинский,27000000.0
9280,4,85.0,12,Ауэзовский,42000000.0
9281,3,60.0,2,Ауэзовский,17500000.0
9282,3,57.0,3,Алмалинский,18000000.0
9283,3,75.0,2,Турксибский,23000000.0
9284,1,40.0,2,Бостандыкский,15400000.0
9285,4,135.0,14,Алмалинский,63000000.0
9286,3,72.0,3,Алмалинский,23500000.0
9287,2,55.0,4,Наурызбайский,27500000.0
9288,3,72.3,1,Ауэзовский,22000000.0
9289,3,59.0,4,Ауэзовский,18000000.0
9290,2,70.0,5,Турксибский,18000000.0
9291,3,90.0,2,Медеуский,45000000.0
9292,2,65.0,9,Ауэзовский,23500000.0
9293,1,12.0,3,Алмалинский,4500000.0
9294,4,172.0,9,Бостандыкский,84000000.0
9295,3,70.0,1,Ауэзовский,23200000.0
9296,2,47.0,1,Ауэзовский,14500000.0
9297,2,55.0,8,Алмалинский,23800000.0
9298,2,43.0,3,Алмалинский,15100000.0
9299,2,43.0,1,Ауэзовский,18000000.0
9300,1,60.0,15,Наурызбайский,13500000.0
9301,3,103.0,5,Алмалинский,45000000.0
9302,3,72.0,2,Ауэзовский,24000000.0
9303,4,161.0,5,Наурызбайский,38000000.0
9304,2,58.0,6,Турксибский,15000000.0
9305,2,58.0,6,Турксибский,15000000.0
9306,3,62.0,1,Медеуский,27500000.0
9307,2,44.0,1,Турксибский,9000000.0
9308,2,52.6,1,Алмалинский,25000000.0
9309,2,81.5,8,Алмалинский,31500000.0
9310,4,166.0,6,Бостандыкский,118000000.0
9311,3,70.0,3,Ауэзовский,20800000.0
9312,2,72.0,14,Ауэзовский,29700000.0
9313,2,75.0,6,Бостандыкский,42000000.0
9314,2,42.0,2,Бостандыкский,16300000.0
9315,1,30.0,4,Бостандыкский,12700000.0
9316,1,43.0,12,Алмалинский,16000000.0
9317,2,56.0,3,Бостандыкский,25000000.0
9318,1,37.0,1,Алмалинский,13700000.0
9319,3,123.0,8,Бостандыкский,65000000.0
9320,3,123.0,7,Бостандыкский,63500000.0
9321,2,56.0,9,Алмалинский,32200000.0
9322,2,44.0,2,Бостандыкский,17500000.0
9323,2,56.0,5,Бостандыкский,20500000.0
9324,2,47.0,5,Алмалинский,16000000.0
9325,3,60.0,3,Алмалинский,20300000.0
9326,4,98.0,2,Алмалинский,38800000.0
9327,1,33.0,1,Алмалинский,13000000.0
9328,4,104.0,8,Ауэзовский,36000000.0
9329,3,75.0,10,Алмалинский,27000000.0
9330,3,74.0,5,Бостандыкский,33900000.0
9331,3,70.0,3,Алмалинский,29000000.0
9332,1,33.0,4,Алмалинский,13000000.0
9333,3,58.0,1,Бостандыкский,19000000.0
9334,2,41.0,2,Бостандыкский,16200000.0
9335,1,33.0,1,Алмалинский,12700000.0
9336,1,38.0,3,Алмалинский,15300000.0
9337,1,40.0,3,Бостандыкский,14400000.0
9338,2,75.0,13,Алмалинский,29000000.0
9339,3,71.0,8,Медеуский,29000000.0
9340,2,41.0,3,Медеуский,17500000.0
9341,2,40.0,2,Ауэзовский,11000000.0
9342,2,71.0,4,Медеуский,39999999.0
9343,1,40.0,10,Алмалинский,20000000.0
9344,3,72.0,2,Ауэзовский,35000000.0
9345,3,61.86,4,Медеуский,29500000.0
9346,6,270.0,17,Медеуский,118000000.0
9347,3,64.0,2,Медеуский,28000000.0
9348,2,63.0,1,Бостандыкский,30500000.0
9349,3,74.0,1,Ауэзовский,24999999.0
9350,2,54.0,2,Ауэзовский,20000000.0
9351,2,71.0,7,Медеуский,43999999.0
9352,3,70.0,6,Ауэзовский,25000000.0
9353,3,100.0,7,Бостандыкский,68000000.0
9354,1,40.0,2,Ауэзовский,19900000.0
9355,1,37.0,1,Бостандыкский,11000000.0
9356,2,45.0,1,Бостандыкский,25000000.0
9357,3,65.0,6,Медеуский,37000000.0
9358,2,68.0,4,Ауэзовский,26000000.0
9359,3,75.0,1,Бостандыкский,40000000.0
9360,2,50.0,5,Бостандыкский,21900000.0
9361,1,54.2,6,Алмалинский,16200000.0
9362,1,33.2,3,Алмалинский,14100000.0
9363,3,70.0,5,Жетысуский,22500000.0
9364,3,84.0,1,Алатауский,18500000.0
9365,3,70.0,6,Ауэзовский,23000000.0
9366,2,43.0,3,Алмалинский,17000000.0
9367,2,62.0,5,Алмалинский,23000000.0
9368,3,76.0,5,Ауэзовский,22200000.0
9369,3,130.0,7,Медеуский,38000000.0
9370,3,56.0,3,Бостандыкский,29000000.0
9371,3,120.0,1,Бостандыкский,88000000.0
9372,2,53.2,5,Алмалинский,17000000.0
9373,4,127.22,9,Бостандыкский,58600000.0
9374,3,68.0,1,Турксибский,14500000.0
9375,3,57.2,2,Медеуский,19500000.0
9376,1,22.0,1,Наурызбайский,7500000.0
9377,3,82.0,2,Медеуский,26000000.0
9378,2,63.0,6,Турксибский,14000000.0
9379,2,70.0,2,Медеуский,44999999.0
9380,3,102.0,5,Бостандыкский,50000000.0
9381,2,52.0,5,Алмалинский,19000000.0
9382,5,260.0,5,Бостандыкский,273950000.0
9383,2,56.0,4,Алмалинский,23000000.0
9384,3,77.0,1,Турксибский,25000000.0
9385,1,33.0,4,Ауэзовский,12000000.0
9386,3,74.7,1,Бостандыкский,28000000.0
9387,2,60.0,8,Ауэзовский,18500000.0
9388,3,59.0,2,Бостандыкский,23500000.0
9389,3,86.0,3,Ауэзовский,34800000.0
9390,3,106.0,2,Медеуский,56000000.0
9391,4,104.0,2,Медеуский,48000000.0
9392,2,65.0,9,Медеуский,27500000.0
9393,3,103.0,2,Бостандыкский,48500000.0
9394,2,65.0,6,Жетысуский,14000000.0
9395,3,82.0,5,Жетысуский,23000000.0
9396,3,69.7,5,Жетысуский,22000000.0
9397,3,59.2,2,Бостандыкский,23500000.0
9398,3,64.0,5,Бостандыкский,26500000.0
9399,4,122.0,2,Ауэзовский,52000000.0
9400,3,68.0,1,Ауэзовский,25000000.0
9401,1,45.0,9,Ауэзовский,17900000.0
9402,2,44.0,1,Наурызбайский,12000000.0
9403,3,67.0,8,Ауэзовский,21000000.0
9404,1,24.0,2,Ауэзовский,6000000.0
9405,1,40.0,6,Турксибский,13500000.0
9406,3,60.0,4,Бостандыкский,19000000.0
9407,3,78.0,6,Наурызбайский,14000000.0
9408,4,84.0,6,Бостандыкский,37800000.0
9409,3,160.0,8,Медеуский,107500000.0
9410,2,67.0,5,Наурызбайский,29000000.0
9411,7,300.0,5,Алмалинский,111000000.0
9412,3,72.0,9,Бостандыкский,27400000.0
9413,4,83.4,4,Ауэзовский,30000000.0
9414,2,55.0,4,Алмалинский,24000000.0
9415,3,75.0,5,Бостандыкский,25400000.0
9416,4,144.0,12,Алмалинский,95000000.0
9417,4,144.0,12,Алмалинский,95000000.0
9418,2,64.0,3,Алмалинский,28000000.0
9419,1,22.0,1,Наурызбайский,6500000.0
9420,3,67.0,1,Жетысуский,18000000.0
9421,3,76.0,5,Ауэзовский,25000000.0
9422,3,78.0,1,Алатауский,23000000.0
9423,2,45.0,4,Алмалинский,16300000.0
9424,2,63.0,1,Бостандыкский,35000000.0
9425,3,100.0,5,Ауэзовский,34900000.0
9426,3,80.0,16,Алмалинский,30000000.0
9427,4,74.0,4,Ауэзовский,20800000.0
9428,3,64.0,3,Алмалинский,21000000.0
9429,1,33.0,3,Алмалинский,13500000.0
9430,2,42.2,2,Ауэзовский,10000000.0
9431,3,117.0,4,Медеуский,33000000.0
9432,2,58.0,13,Алатауский,24000000.0
9433,2,57.0,6,Наурызбайский,11500000.0
9434,4,81.0,2,Бостандыкский,34000000.0
9435,3,70.0,3,Ауэзовский,26200000.0
9436,1,36.0,6,Наурызбайский,8300000.0
9437,1,31.0,4,Бостандыкский,14500000.0
9438,3,116.0,10,Ауэзовский,50000000.0
9439,3,115.0,4,Медеуский,35500000.0
9440,3,70.4,4,Медеуский,37000000.0
9441,4,102.0,2,Ауэзовский,35000000.0
9442,4,86.0,3,Ауэзовский,30000000.0
9443,1,17.5,2,Жетысуский,5200000.0
9444,1,33.9,2,Алмалинский,20000000.0
9445,1,18.5,1,Алатауский,4500000.0
9446,3,75.0,1,Алатауский,17500000.0
9447,3,60.0,2,Медеуский,20000000.0
9448,1,31.0,2,Бостандыкский,12500000.0
9449,3,60.0,3,Ауэзовский,17500000.0
9450,4,82.0,3,Жетысуский,22000000.0
9451,1,18.0,5,Алмалинский,7000000.0
9452,2,53.4,5,Бостандыкский,20000000.0
9453,3,139.0,4,Алмалинский,65300000.0
9454,3,70.0,2,Алмалинский,22500000.0
9455,3,110.0,8,Алмалинский,44000000.0
9456,3,60.5,5,Ауэзовский,16999999.0
9457,2,45.0,5,Бостандыкский,15800000.0
9458,4,140.0,14,Ауэзовский,45000000.0
9459,2,65.0,5,Наурызбайский,28000000.0
9460,2,58.0,6,Алмалинский,20000000.0
9461,1,44.0,9,Бостандыкский,22000000.0
9462,3,62.0,3,Бостандыкский,22000000.0
9463,3,136.0,3,Бостандыкский,85000000.0
9464,2,118.0,4,Ауэзовский,55000000.0
9465,3,67.4,1,Бостандыкский,19546000.0
9466,2,75.0,5,Ауэзовский,31200000.0
9467,3,97.0,8,Бостандыкский,65000000.0
9468,2,46.0,4,Бостандыкский,15300000.0
9469,3,65.0,9,Бостандыкский,28000000.0
9470,3,65.0,9,Алмалинский,19200000.0
9471,3,77.0,1,Ауэзовский,25200000.0
9472,2,50.5,5,Алмалинский,23500000.0
9473,2,46.0,3,Алмалинский,16800000.0
9474,3,120.0,15,Бостандыкский,55000000.0
9475,1,52.0,4,Бостандыкский,21300000.0
9476,3,70.0,3,Бостандыкский,37000000.0
9477,4,177.0,5,Медеуский,151000000.0
9478,3,70.0,1,Ауэзовский,24999999.0
9479,2,54.0,4,Ауэзовский,18500000.0
9480,1,33.0,2,Алмалинский,15500000.0
9481,2,66.0,2,Ауэзовский,29000000.0
9482,2,39.0,1,Бостандыкский,12700000.0
9483,3,132.0,5,Наурызбайский,32000000.0
9484,2,65.0,10,Медеуский,32920000.0
9485,8,235.0,2,Турксибский,46000000.0
9486,3,87.0,6,Ауэзовский,37000000.0
9487,2,43.0,3,Бостандыкский,14600000.0
9488,2,58.0,4,Бостандыкский,24000000.0
9489,2,58.0,7,Алатауский,21500000.0
9490,2,65.0,4,Ауэзовский,27300000.0
9491,2,45.0,4,Бостандыкский,15500000.0
9492,3,145.0,9,Медеуский,173000000.0
9493,4,85.0,5,Алмалинский,32000000.0
9494,1,38.0,2,Ауэзовский,18400000.0
9495,1,37.3,5,Бостандыкский,15400000.0
9496,2,52.0,3,Турксибский,17000000.0
9497,2,46.0,2,Бостандыкский,18500000.0
9498,4,95.0,5,Ауэзовский,35000000.0
9499,1,48.5,1,Алатауский,15000000.0
9500,3,171.0,10,Медеуский,67000000.0
9501,1,38.0,5,Бостандыкский,12000000.0
9502,3,98.0,6,Бостандыкский,65000000.0
9503,2,43.0,4,Бостандыкский,16800000.0
9504,1,40.0,2,Алмалинский,17000000.0
9505,4,100.0,7,Алмалинский,39000000.0
9506,2,90.0,6,Ауэзовский,30800000.0
9507,3,70.0,3,Ауэзовский,24999999.0
9508,2,61.0,1,Алатауский,18000000.0
9509,2,46.0,5,Алмалинский,21000000.0
9510,2,44.5,5,Бостандыкский,15800000.0
9511,2,58.0,4,Бостандыкский,24000000.0
9512,3,70.0,8,Алмалинский,20800000.0
9513,3,69.0,8,Алмалинский,22500000.0
9514,3,119.0,6,Ауэзовский,37999999.0
9515,3,75.0,4,Алмалинский,35000000.0
9516,2,57.0,4,Медеуский,27000000.0
9517,2,41.0,4,Бостандыкский,15500000.0
9518,1,48.0,1,Бостандыкский,15500000.0
9519,4,156.0,5,Медеуский,90000000.0
9520,2,54.0,4,Ауэзовский,19500000.0
9521,3,65.0,6,Медеуский,37380000.0
9522,3,113.0,9,Алмалинский,44500000.0
9523,1,61.0,2,Бостандыкский,24000000.0
9524,3,113.0,17,Ауэзовский,36500000.0
9525,2,54.0,5,Алмалинский,22500000.0
9526,3,68.0,1,Бостандыкский,27000000.0
9527,3,154.0,6,Медеуский,45000000.0
9528,2,65.0,13,Алмалинский,22500000.0
9529,3,112.0,12,Ауэзовский,38500000.0
9530,3,97.0,15,Ауэзовский,35200000.0
9531,3,70.4,4,Алмалинский,36600000.0
9532,4,95.0,5,Ауэзовский,35000000.0
9533,4,100.0,2,Медеуский,60000000.0
9534,2,54.0,3,Жетысуский,18500000.0
9535,2,44.0,2,Алмалинский,19400000.0
9536,4,150.0,1,Медеуский,110000000.0
9537,2,51.4,4,Жетысуский,16500000.0
9538,1,40.0,3,Жетысуский,10500000.0
9539,1,24.0,2,Ауэзовский,6500000.0
9540,2,54.0,8,Ауэзовский,19500000.0
9541,1,53.0,13,Алмалинский,18500000.0
9542,2,54.0,22,Алмалинский,19800000.0
9543,2,54.0,22,Алмалинский,19800000.0
9544,1,42.0,5,Турксибский,8999999.0
9545,2,45.0,3,Жетысуский,13500000.0
9546,2,70.0,9,Ауэзовский,23500000.0
9547,1,46.0,5,Алмалинский,21400000.0
9548,1,30.6,3,Бостандыкский,15200000.0
9549,3,63.0,2,Медеуский,22000000.0
